"x_blur","y_blur","fitness"
25,24,0.929134
26,24,0.944882
27,24,0.937008
28,24,0.937008
29,24,0.933071
30,24,0.933071
31,24,0.937008
32,24,0.92126
33,24,0.92126
34,24,0.925197
35,24,0.929134
36,24,0.905512
37,24,0.944882
38,24,0.929134
39,24,0.940945
40,24,0.940945
41,24,0.92126
42,24,0.901575
43,24,0.917323
44,24,0.944882
45,24,0.901575
46,24,0.925197
47,24,0.917323
48,24,0.929134
49,24,0.901575
50,24,0.913386
0,25,0.944882
1,25,0.940945
2,25,0.952756
3,25,0.940945
4,25,0.937008
5,25,0.940945
6,25,0.940945
7,25,0.948819
8,25,0.948819
9,25,0.937008
10,25,0.940945
11,25,0.929134
12,25,0.944882
13,25,0.944882
14,25,0.956693
15,25,0.952756
16,25,0.944882
17,25,0.944882
18,25,0.948819
19,25,0.948819
20,25,0.948819
21,25,0.944882
22,25,0.952756
23,25,0.940945
24,25,0.96063
25,25,0.948819
26,25,0.952756
27,25,0.92126
28,25,0.901575
29,25,0.913386
30,25,0.925197
31,25,0.937008
32,25,0.92126
33,25,0.940945
34,25,0.917323
35,25,0.937008
36,25,0.933071
37,25,0.929134
38,25,0.937008
39,25,0.929134
40,25,0.893701
41,25,0.929134
42,25,0.917323
43,25,0.933071
44,25,0.913386
45,25,0.925197
46,25,0.92126
47,25,0.917323
48,25,0.909449
49,25,0.901575
50,25,0.901575
0,26,0.964567
1,26,0.940945
2,26,0.944882
3,26,0.925197
4,26,0.937008
5,26,0.944882
6,26,0.937008
7,26,0.948819
8,26,0.940945
9,26,0.933071
10,26,0.940945
11,26,0.937008
12,26,0.937008
13,26,0.96063
14,26,0.96063
15,26,0.944882
16,26,0.944882
17,26,0.929134
18,26,0.933071
19,26,0.929134
20,26,0.937008
21,26,0.929134
22,26,0.929134
23,26,0.917323
24,26,0.937008
25,26,0.933071
26,26,0.937008
27,26,0.933071
28,26,0.929134
29,26,0.937008
30,26,0.929134
31,26,0.929134
32,26,0.933071
33,26,0.917323
34,26,0.913386
35,26,0.92126
36,26,0.92126
37,26,0.909449
38,26,0.92126
39,26,0.901575
40,26,0.917323
41,26,0.940945
42,26,0.909449
43,26,0.913386
44,26,0.913386
45,26,0.925197
46,26,0.917323
47,26,0.925197
48,26,0.913386
49,26,0.917323
50,26,0.901575
0,27,0.937008
1,27,0.940945
2,27,0.948819
3,27,0.952756
4,27,0.944882
5,27,0.937008
6,27,0.944882
7,27,0.944882
8,27,0.937008
9,27,0.952756
10,27,0.944882
11,27,0.956693
12,27,0.964567
13,27,0.944882
14,27,0.929134
15,27,0.948819
16,27,0.948819
17,27,0.933071
18,27,0.937008
19,27,0.937008
20,27,0.948819
21,27,0.952756
22,27,0.940945
23,27,0.92126
24,27,0.944882
25,27,0.929134
26,27,0.929134
27,27,0.952756
28,27,0.929134
29,27,0.933071
30,27,0.940945
31,27,0.937008
32,27,0.92126
33,27,0.933071
34,27,0.925197
35,27,0.92126
36,27,0.948819
37,27,0.929134
38,27,0.917323
39,27,0.92126
40,27,0.917323
41,27,0.925197
42,27,0.929134
43,27,0.913386
44,27,0.897638
45,27,0.901575
46,27,0.92126
47,27,0.909449
48,27,0.905512
49,27,0.901575
50,27,0.917323
0,28,0.944882
1,28,0.92126
2,28,0.925197
3,28,0.940945
4,28,0.952756
5,28,0.952756
6,28,0.940945
7,28,0.940945
8,28,0.944882
9,28,0.925197
10,28,0.948819
11,28,0.929134
12,28,0.948819
13,28,0.944882
14,28,0.933071
15,28,0.952756
16,28,0.937008
17,28,0.944882
18,28,0.948819
19,28,0.952756
20,28,0.948819
21,28,0.917323
22,28,0.940945
23,28,0.92126
24,28,0.933071
25,28,0.92126
26,28,0.944882
27,28,0.929134
28,28,0.948819
29,28,0.937008
30,28,0.96063
31,28,0.929134
32,28,0.901575
33,28,0.929134
34,28,0.92126
35,28,0.929134
36,28,0.925197
37,28,0.92126
38,28,0.92126
39,28,0.909449
40,28,0.917323
41,28,0.933071
42,28,0.909449
43,28,0.917323
44,28,0.917323
45,28,0.901575
46,28,0.909449
47,28,0.893701
48,28,0.905512
49,28,0.925197
50,28,0.893701
0,29,0.937008
1,29,0.929134
2,29,0.937008
3,29,0.933071
4,29,0.925197
5,29,0.929134
6,29,0.944882
7,29,0.940945
8,29,0.933071
9,29,0.929134
10,29,0.933071
11,29,0.937008
12,29,0.948819
13,29,0.940945
14,29,0.940945
15,29,0.956693
16,29,0.952756
17,29,0.929134
18,29,0.937008
19,29,0.92126
20,29,0.92126
21,29,0.944882
22,29,0.925197
23,29,0.940945
24,29,0.937008
25,29,0.948819
26,29,0.944882
27,29,0.925197
28,29,0.92126
29,29,0.937008
30,29,0.929134
31,29,0.917323
32,29,0.925197
33,29,0.925197
34,29,0.909449
35,29,0.925197
36,29,0.917323
37,29,0.937008
38,29,0.909449
39,29,0.929134
40,29,0.92126
41,29,0.913386
42,29,0.909449
43,29,0.940945
44,29,0.909449
45,29,0.909449
46,29,0.917323
47,29,0.893701
48,29,0.909449
49,29,0.88189
50,29,0.885827
0,30,0.917323
1,30,0.929134
2,30,0.944882
3,30,0.940945
4,30,0.944882
5,30,0.929134
6,30,0.937008
7,30,0.937008
8,30,0.944882
9,30,0.940945
10,30,0.929134
11,30,0.933071
12,30,0.92126
13,30,0.937008
